英語表現,意味,由来,例文,日本語訳,近い日本語表現
Sisyphean task,終わりのない無駄な努力,シーシュポスが岩を押し続ける神話,Cleaning up after three toddlers is a Sisyphean task.,3人の幼児の後片付けは終わりのない作業だ。,徒労に終わる
Herculean effort,大変な努力,ヘラクレスの12の偉業,It took a Herculean effort to finish the project on time.,期限内にプロジェクトを終えるのは大変な努力が必要だった。,九牛の一毛
Midas touch,何でも成功に変える才能,ミダス王の黄金の手,She has the Midas touch in business.,彼女はビジネスで何をやっても成功する。,触るもの皆金になる
Narcissism,自己愛,ナルキッソスが自分に恋した話,His constant selfies are just a sign of his narcissism.,絶え間ない自撮りは彼の自己愛の表れだ。,自己陶酔
Between Scylla and Charybdis,板挟みの状態,怪物スキュラと渦カリュブディス,The politician was caught between Scylla and Charybdis.,政治家は板挟みにあった。,進退きわまる
Achilles’ heel,致命的な弱点,アキレスの踵,Every system has its Achilles’ heel.,どんなシステムにも致命的な弱点がある。,唯一の弱点
Pandora’s box,災いのもと,パンドラの箱,The new policy opened a Pandora’s box of problems.,その新しい方針は災いのもとを開けてしまった。,災いの種
Trojan horse,内部に潜む脅威,トロイの木馬,The software turned out to be a Trojan horse.,そのソフトは内部に潜む脅威だった。,だまし討ち
Nemesis,宿敵・報い,復讐の女神ネメシス,Overconfidence proved to be his nemesis.,自信過剰が彼の破滅の原因となった。,天罰
Atlas,重荷を背負う人,天空を支える巨人アトラス,He carries the company like Atlas.,彼は会社をアトラスのように支えている。,重荷を背負う
Oedipus complex,エディプスコンプレックス,父殺し母への愛を抱いたオイディプス王,Freud described it as the Oedipus complex.,フロイトはこれをエディプスコンプレックスと名付けた。,親子愛執
Titanic struggle,大規模な戦い,巨人タイタン族との戦い,They engaged in a titanic struggle for control.,彼らは支配を巡って大規模な戦いを繰り広げた。,大勝負
Augean stables,大掃除が必要な場所,アウゲイアス王の牛小屋掃除,The new manager had to clean the Augean stables.,新任マネージャーは徹底的な大掃除を迫られた。,一掃
Circe,誘惑する女性,男を豚に変えた女神キルケー,She played the role of a modern Circe.,彼女は現代のキルケーのような役割を果たした。,妖婦
Icarus,高望みして失敗する人,イカロスが太陽に近づきすぎた神話,"He flew too close to the sun, like Icarus.",彼はイカロスのように高望みして失敗した。,身の程知らず
Protean,変幻自在な,変身の神プロテウス,She has a protean talent for acting.,彼女は演技において変幻自在な才能を持っている。,七変化
Harpies,恐ろしい女の怪物,鳥女ハーピー,Reporters were described as harpies chasing him.,記者たちは彼を追い回すハーピーのようだと評された。,悪女
Delphic,曖昧で解釈が難しい,デルフォイの神託,His comments were as Delphic as ever.,彼の発言は相変わらず曖昧で解釈が難しかった。,玉虫色の答え
